Demographic Variable,Mean,Std. Dev.,Coding,% of Sample,N
Resident Status,,,1 = Full Time Rexburg Resident,38.81,67
,,,2 = BYU-Idaho Student,49.25,
,,,3 = Other,11.94,
Age in years,1.92,1.24,1 = 18-24,53.85,65
,,,2 = 25-34,20,
,,,3 = 35-44,10.77,
,,,4 = 45-54,12.31,
,,,5 = 55-64,1.54,
,,,6 = 65+,1.54,
Gender,0.64,0.48,0 = Male,34.82,67
,,,1 = Female,64.18,
Education (Highest Level),4.03,1.14,1 = Less than High School,1.49,67
,,,2 = High School/GED,43.28,
,,,3 = Some College,16.42,
,,,4 = Associates,31.34,
,,,5 = Bachelors,5.97,
,,,6 = Doctorate,1.49,
Gross Annual Income,4.48,3.8,"1 = Less than $10,000",25.4,63
,,,"2 = $10,000 - $19,999",22.22,
,,,"3 = $20,000 - $29,999",9.52,
,,,"4 = $30,000 - $39,999",9.52,
,,,"5 = $40,000 - $49,999",4.76,
,,,"6 = $50,000 - $59,999",0,
,,,"7 = $60,000 - $69,999",1.59,
,,,"8 = $70,000 - $79,999",4.76,
,,,"9 = $80,000 - $89,999",3.17,
,,,"10 = $90,000 - $99,999",4.76,
,,,"11 = $100,000 - $149,999",9.52,
,,,"12 = More than $150,000",4.76,
